Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_CDESC_DEBUFF_MANIA,,Creatures with {CONDNAME_DEBUFF_MANIA} take damage at the end of their turn equal to 3% of the {STAT_health} all creatures had recovered when this debuff was applied.,{CONDNAME_DEBUFF_MANIA}を持つ生物は、自分のターン終了時に、このデバフが適用された時に全ての生物が回復した{STAT_health}の3%に等しいダメージを受ける。,"Kreaturen mit {CONDNAME_DEBUFF_MANIA} erleiden am Ende ihres Zuges Schaden in Höhe von 3% der {STAT_health}, die alle Kreaturen wiederhergestellt hatten, als dieser Debuff angewendet wurde.",Les créatures avec {CONDNAME_DEBUFF_MANIA} subissent des dégâts à la fin de leur tour égaux à 3% de la {STAT_health} que toutes les créatures avaient récupérée lorsque ce malus a été appliqué.,Las criaturas con {CONDNAME_DEBUFF_MANIA} reciben daño al final de su turno igual al 3% de la {STAT_health} que todas las criaturas habían recuperado cuando se aplicó este perjuicio.,Criaturas com {CONDNAME_DEBUFF_MANIA} sofrem dano no final de seu turno igual a 3% da {STAT_health} que todas as criaturas haviam recuperado quando este debuff foi aplicado.,"Существа с {CONDNAME_DEBUFF_MANIA} получают урон в конце своего хода, равный 3% от {STAT_health}, который все существа восстановили, когда был наложен этот дебафф.",Le creature con {CONDNAME_DEBUFF_MANIA} subiscono danni alla fine del loro turno pari al 3% della {STAT_health} che tutte le creature avevano recuperato quando questo debuff è stato applicato.,帶有{CONDNAME_DEBUFF_MANIA}的生物在其回合結束時會受到傷害，傷害值等同於此減益效果施加時所有生物已恢復的{STAT_health}的3%。,带有{CONDNAME_DEBUFF_MANIA}的生物在其回合结束时受到伤害，伤害等于施加此减益效果时所有生物已恢复的{STAT_health}的3%。,{CONDNAME_DEBUFF_MANIA}에 걸린 생물은 자신의 턴이 끝날 때 이 디버프가 적용되었을 때 모든 생물이 회복한 {STAT_health}의 3%에 해당하는 피해를 입습니다.,"Stworzenia z {CONDNAME_DEBUFF_MANIA} otrzymują obrażenia na końcu swojej tury równe 3% {STAT_health}, które wszystkie stworzenia odzyskały, gdy ta negatywna przypadłość została nałożona.","Істоти з {CONDNAME_DEBUFF_MANIA} отримують пошкодження в кінці свого ходу, що дорівнює 3% від {STAT_health}, який усі істоти відновили, коли цей дебаф було застосовано.",Wezens met {CONDNAME_DEBUFF_MANIA} krijgen schade aan het einde van hun beurt gelijk aan 3% van de {STAT_health} die alle wezens hadden hersteld toen deze debuff werd toegepast.,"{CONDNAME_DEBUFF_MANIA} olan yaratıklar, sıralarının sonunda, bu zayıflatıcı etki uygulandığında tüm yaratıkların iyileştirdiği {STAT_health} değerinin %3'ü kadar hasar alır."
L_CDESC_DEBUFF_VULNERABLE,,{CONDNAME_DEBUFF_VULNERABLE} creatures take 50% more damage.,{CONDNAME_DEBUFF_VULNERABLE}の状態の生物は50%多くのダメージを受ける。,{CONDNAME_DEBUFF_VULNERABLE} Kreaturen erleiden 50% mehr Schaden.,Les créatures {CONDNAME_DEBUFF_VULNERABLE} subissent 50% de dégâts supplémentaires.,Las criaturas {CONDNAME_DEBUFF_VULNERABLE} reciben un 50% más de daño.,Criaturas {CONDNAME_DEBUFF_VULNERABLE} recebem 50% mais dano.,Существа с {CONDNAME_DEBUFF_VULNERABLE} получают на 50% больше урона.,Le creature {CONDNAME_DEBUFF_VULNERABLE} subiscono il 50% di danni in più.,{CONDNAME_DEBUFF_VULNERABLE}生物受到的傷害增加50%。,{CONDNAME_DEBUFF_VULNERABLE}生物受到的伤害增加50%。,{CONDNAME_DEBUFF_VULNERABLE} 상태의 생물은 50% 더 많은 피해를 받습니다.,Stworzenia {CONDNAME_DEBUFF_VULNERABLE} otrzymują o 50% więcej obrażeń.,{CONDNAME_DEBUFF_VULNERABLE} істоти отримують на 50% більше шкоди.,{CONDNAME_DEBUFF_VULNERABLE} wezens krijgen 50% meer schade.,{CONDNAME_DEBUFF_VULNERABLE} yaratıklar %50 daha fazla hasar alır.
L_CDESC_BUFF_SAVAGE,,"{CONDNAME_BUFF_SAVAGE} creatures have an additional, independent chance to deal critical damage with attacks.",{CONDNAME_BUFF_SAVAGE}の生物は、攻撃時に追加の独立したクリティカルダメージを与える確率を持っています。,"{CONDNAME_BUFF_SAVAGE} Kreaturen haben eine zusätzliche, unabhängige Chance, mit Angriffen kritischen Schaden zu verursachen.",Les créatures {CONDNAME_BUFF_SAVAGE} ont une chance supplémentaire et indépendante d'infliger des dégâts critiques avec leurs attaques.,Las criaturas {CONDNAME_BUFF_SAVAGE} tienen una probabilidad adicional e independiente de infligir daño crítico con sus ataques.,Criaturas {CONDNAME_BUFF_SAVAGE} têm uma chance adicional e independente de causar dano crítico com ataques.,"{CONDNAME_BUFF_SAVAGE} существа имеют дополнительный, независимый шанс нанести критический урон атаками.",Le creature {CONDNAME_BUFF_SAVAGE} hanno una possibilità aggiuntiva e indipendente di infliggere danni critici con gli attacchi.,{CONDNAME_BUFF_SAVAGE}生物擁有額外的、獨立的機會以攻擊造成暴擊傷害。,{CONDNAME_BUFF_SAVAGE}生物拥有额外的、独立的几率用攻击造成暴击伤害。,{CONDNAME_BUFF_SAVAGE} 생물은 공격 시 추가적이고 독립적인 치명타 피해를 입힐 확률이 있습니다.,"Stworzenia {CONDNAME_BUFF_SAVAGE} mają dodatkową, niezależną szansę na zadanie obrażeń krytycznych podczas ataków.","{CONDNAME_BUFF_SAVAGE} істоти мають додатковий, незалежний шанс завдати критичної шкоди атаками.","{CONDNAME_BUFF_SAVAGE} wezens hebben een extra, onafhankelijke kans om kritieke schade toe te brengen met aanvallen.","{CONDNAME_BUFF_SAVAGE} yaratıklar, saldırılarla kritik hasar verme konusunda ek, bağımsız bir şansa sahiptir."
L_CDESC_BUFF_IMMUNITY,,Creatures with {CONDNAME_BUFF_IMMUNITY} can't be afflicted with debuffs.,{CONDNAME_BUFF_IMMUNITY}を持つ生物はデバフを受けない。,Kreaturen mit {CONDNAME_BUFF_IMMUNITY} können nicht mit Schwächungszaubern belegt werden.,Les créatures avec {CONDNAME_BUFF_IMMUNITY} ne peuvent pas être affligées de débuffs.,Las criaturas con {CONDNAME_BUFF_IMMUNITY} no pueden ser afectadas por debuffs.,Criaturas com {CONDNAME_BUFF_IMMUNITY} não podem ser afligidas com debuffs.,Существа с {CONDNAME_BUFF_IMMUNITY} не могут быть поражены дебаффами.,Le creature con {CONDNAME_BUFF_IMMUNITY} non possono essere afflitte da debuff.,具有{CONDNAME_BUFF_IMMUNITY}的生物無法被施加減益效果。,拥有{CONDNAME_BUFF_IMMUNITY}的生物不会受到减益效果的影响。,{CONDNAME_BUFF_IMMUNITY} 상태인 생물체는 디버프에 걸리지 않습니다.,Stworzenia z {CONDNAME_BUFF_IMMUNITY} nie mogą zostać dotknięte osłabieniami.,Істоти з {CONDNAME_BUFF_IMMUNITY} не можуть бути вражені дебафами.,Wezens met {CONDNAME_BUFF_IMMUNITY} kunnen niet worden getroffen door verzwakkingen.,{CONDNAME_BUFF_IMMUNITY} özelliğine sahip yaratıklar zayıflatıcı etkilerden etkilenmez.
L_CDESC_BUFF_REBIRTH,,Creatures with {CONDNAME_BUFF_REBIRTH} are resurrected with 50% {STAT_health} when they die.,{CONDNAME_BUFF_REBIRTH}を持つ生物は、死亡時に50%の{STAT_health}で復活する。,"Kreaturen mit {CONDNAME_BUFF_REBIRTH} werden mit 50% {STAT_health} wiederbelebt, wenn sie sterben.",Les créatures avec {CONDNAME_BUFF_REBIRTH} sont ressuscitées avec 50% de {STAT_health} à leur mort.,Las criaturas con {CONDNAME_BUFF_REBIRTH} son resucitadas con un 50% de {STAT_health} cuando mueren.,Criaturas com {CONDNAME_BUFF_REBIRTH} são ressuscitadas com 50% de {STAT_health} quando morrem.,Существа с {CONDNAME_BUFF_REBIRTH} воскрешаются с 50% {STAT_health} после смерти.,Le creature con {CONDNAME_BUFF_REBIRTH} vengono resuscitate con il 50% di {STAT_health} quando muoiono.,具有{CONDNAME_BUFF_REBIRTH}的生物死亡時會以50%的{STAT_health}復活。,拥有{CONDNAME_BUFF_REBIRTH}的生物死亡时会以50%{STAT_health}复活。,{CONDNAME_BUFF_REBIRTH} 상태인 생물은 사망 시 {STAT_health}의 50%로 부활합니다.,Stworzenia z {CONDNAME_BUFF_REBIRTH} są wskrzeszane z 50% {STAT_health} po śmierci.,Істоти з {CONDNAME_BUFF_REBIRTH} воскресають з 50% {STAT_health} після смерті.,Wezens met {CONDNAME_BUFF_REBIRTH} worden opgewekt met 50% {STAT_health} wanneer ze sterven.,{CONDNAME_BUFF_REBIRTH} sahibi yaratıklar öldüklerinde %50 {STAT_health} ile dirilirler.
L_CDESC_BUFF_BERSERK,,{CONDNAME_BUFF_BERSERK} creatures deal 50% more damage.,{CONDNAME_BUFF_BERSERK}の生物は50%多くのダメージを与える。,{CONDNAME_BUFF_BERSERK} Kreaturen verursachen 50% mehr Schaden.,Les créatures {CONDNAME_BUFF_BERSERK} infligent 50% de dégâts supplémentaires.,Las criaturas {CONDNAME_BUFF_BERSERK} infligen un 50% más de daño.,Criaturas {CONDNAME_BUFF_BERSERK} causam 50% mais dano.,Существа под действием {CONDNAME_BUFF_BERSERK} наносят на 50% больше урона.,Le creature {CONDNAME_BUFF_BERSERK} infliggono il 50% di danni in più.,{CONDNAME_BUFF_BERSERK}生物造成的傷害提高50%。,{CONDNAME_BUFF_BERSERK}生物造成的伤害提高50%。,{CONDNAME_BUFF_BERSERK} 생물은 50% 더 많은 피해를 입힙니다.,Stworzenia pod wpływem {CONDNAME_BUFF_BERSERK} zadają o 50% więcej obrażeń.,{CONDNAME_BUFF_BERSERK} істоти завдають на 50% більше шкоди.,{CONDNAME_BUFF_BERSERK} wezens veroorzaken 50% meer schade.,{CONDNAME_BUFF_BERSERK} yaratıkları %50 daha fazla hasar verir.
L_CDESC_DEBUFF_BLIND,,{CONDNAME_DEBUFF_BLIND} creatures cannot choose their targets when {ACTION_attacking} or {ACTION_casting} single-target spells.,{CONDNAME_DEBUFF_BLIND}状態のクリーチャーは、{ACTION_attacking}や単一ターゲットの呪文を{ACTION_casting}する際に、対象を選択できません。,"{CONDNAME_DEBUFF_BLIND} Kreaturen können ihre Ziele nicht wählen, wenn sie {ACTION_attacking} oder {ACTION_casting} Einzelzielzauber.",Les créatures {CONDNAME_DEBUFF_BLIND} ne peuvent pas choisir leurs cibles lorsqu'elles {ACTION_attacking} ou {ACTION_casting} des sorts à cible unique.,Las criaturas {CONDNAME_DEBUFF_BLIND} no pueden elegir sus objetivos al {ACTION_attacking} o {ACTION_casting} hechizos de objetivo único.,Criaturas {CONDNAME_DEBUFF_BLIND} não podem escolher seus alvos ao {ACTION_attacking} ou {ACTION_casting} magias de alvo único.,{CONDNAME_DEBUFF_BLIND} существа не могут выбирать цели при {ACTION_attacking} или {ACTION_casting} заклинаний с одной целью.,Le creature {CONDNAME_DEBUFF_BLIND} non possono scegliere i loro bersagli quando {ACTION_attacking} o {ACTION_casting} incantesimi a bersaglio singolo.,{CONDNAME_DEBUFF_BLIND}生物在{ACTION_attacking}或{ACTION_casting}單一目標法術時無法選擇目標。,{CONDNAME_DEBUFF_BLIND}生物在{ACTION_attacking}或{ACTION_casting}单体法术时无法选择目标。,{CONDNAME_DEBUFF_BLIND} 상태의 생물은 {ACTION_attacking}하거나 단일 대상 주문을 {ACTION_casting}할 때 대상을 선택할 수 없습니다.,{CONDNAME_DEBUFF_BLIND} stworzenia nie mogą wybierać swoich celów podczas {ACTION_attacking} lub {ACTION_casting} zaklęć na pojedynczy cel.,{CONDNAME_DEBUFF_BLIND} істоти не можуть вибирати свої цілі під час {ACTION_attacking} або {ACTION_casting} заклинань з однією ціллю.,{CONDNAME_DEBUFF_BLIND} wezens kunnen hun doelwitten niet kiezen wanneer ze {ACTION_attacking} of {ACTION_casting} spreuken met één doelwit.,{CONDNAME_DEBUFF_BLIND} yaratıklar {ACTION_attacking} yaparken veya tek hedefli büyüler {ACTION_casting} yaparken hedeflerini seçemezler.
L_CDESC_DEBUFF_BURNED,,Creatures with {CONDNAME_DEBUFF_BURNED} take damage based on the inflictor's {STAT_intelligence} each turn.,{CONDNAME_DEBUFF_BURNED}状態の生物は、毎ターン、付与者の{STAT_intelligence}に基づくダメージを受ける。,Kreaturen mit {CONDNAME_DEBUFF_BURNED} erleiden jeden Zug Schaden basierend auf der {STAT_intelligence} des Verursachers.,Les créatures avec {CONDNAME_DEBUFF_BURNED} subissent des dégâts basés sur l'{STAT_intelligence} de l'infligeur à chaque tour.,Las criaturas con {CONDNAME_DEBUFF_BURNED} reciben daño basado en la {STAT_intelligence} del infligidor cada turno.,Criaturas com {CONDNAME_DEBUFF_BURNED} sofrem dano baseado no {STAT_intelligence} do infligidor a cada turno.,"Существа с {CONDNAME_DEBUFF_BURNED} получают урон каждый ход, основанный на {STAT_intelligence} наложившего эффект.",Le creature con {CONDNAME_DEBUFF_BURNED} subiscono danni basati sull'{STAT_intelligence} dell'infliggente ad ogni turno.,帶有{CONDNAME_DEBUFF_BURNED}的生物每回合會根據施加者的{STAT_intelligence}受到傷害。,带有{CONDNAME_DEBUFF_BURNED}的生物每回合会受到基于施加者{STAT_intelligence}的伤害。,{CONDNAME_DEBUFF_BURNED} 상태의 생물은 매 턴마다 시전자의 {STAT_intelligence}에 기반한 피해를 입습니다.,"Stworzenia z {CONDNAME_DEBUFF_BURNED} otrzymują obrażenia w każdej turze, bazujące na {STAT_intelligence} tego, kto nałożył efekt.","Істоти з {CONDNAME_DEBUFF_BURNED} отримують шкоду кожного ходу, що базується на {STAT_intelligence} того, хто наклав ефект.",Wezens met {CONDNAME_DEBUFF_BURNED} krijgen elke beurt schade gebaseerd op de {STAT_intelligence} van de veroorzaker.,"{CONDNAME_DEBUFF_BURNED} olan yaratıklar, her turda saldırganın {STAT_intelligence} değerine bağlı olarak hasar alır."
L_CDESC_DEBUFF_CONFUSED,,{CONDNAME_DEBUFF_CONFUSED} creatures have a 50% chance to {ACTION_attack} or {ACTION_cast} harmful spells on their allies.,混乱状態の生物は、50%の確率で味方に{ACTION_attack}したり、有害な呪文を{ACTION_cast}したりします。,"Verwirrte Kreaturen haben eine 50% Chance, ihre Verbündeten zu {ACTION_attack} oder schädliche Zauber auf sie zu {ACTION_cast}.",Les créatures {CONDNAME_DEBUFF_CONFUSED} ont 50% de chances d'{ACTION_attack} ou de {ACTION_cast} des sorts nuisibles sur leurs alliés.,Las criaturas {CONDNAME_DEBUFF_CONFUSED} tienen un 50% de probabilidad de {ACTION_attack} o {ACTION_cast} hechizos dañinos a sus aliados.,Criaturas {CONDNAME_DEBUFF_CONFUSED} têm 50% de chance de {ACTION_attack} ou {ACTION_cast} magias prejudiciais em seus aliados.,{CONDNAME_DEBUFF_CONFUSED} существа имеют 50% шанс {ACTION_attack} или {ACTION_cast} вредоносные заклинания на своих союзников.,Le creature {CONDNAME_DEBUFF_CONFUSED} hanno il 50% di probabilità di {ACTION_attack} o {ACTION_cast} incantesimi dannosi sui propri alleati.,{CONDNAME_DEBUFF_CONFUSED}生物有50%的機率對自己的盟友進行{ACTION_attack}或{ACTION_cast}有害法術。,{CONDNAME_DEBUFF_CONFUSED}生物有50%的几率对其盟友进行{ACTION_attack}或{ACTION_cast}有害法术。,{CONDNAME_DEBUFF_CONFUSED} 상태의 생물은 50% 확률로 아군에게 {ACTION_attack}하거나 해로운 주문을 {ACTION_cast}합니다.,Stworzenia {CONDNAME_DEBUFF_CONFUSED} mają 50% szans na {ACTION_attack} lub {ACTION_cast} szkodliwych zaklęć na swoich sojuszników.,{CONDNAME_DEBUFF_CONFUSED} істоти мають 50% шанс {ACTION_attack} або {ACTION_cast} шкідливі закляття на своїх союзників.,{CONDNAME_DEBUFF_CONFUSED} wezens hebben 50% kans om hun bondgenoten te {ACTION_attack} of schadelijke spreuken op hen te {ACTION_cast}.,{CONDNAME_DEBUFF_CONFUSED} yaratıkların %50 ihtimalle müttefiklerine {ACTION_attack} veya zararlı büyüler {ACTION_cast} etme olasılığı vardır.
L_CDESC_BUFF_WARD,,Creatures with {CONDNAME_BUFF_WARD} cannot lose stats.,{CONDNAME_BUFF_WARD}を持つ生物はステータスを失うことができない。,Kreaturen mit {CONDNAME_BUFF_WARD} können keine Statuswerte verlieren.,Les créatures avec {CONDNAME_BUFF_WARD} ne peuvent pas perdre de stats.,Las criaturas con {CONDNAME_BUFF_WARD} no pueden perder estadísticas.,Criaturas com {CONDNAME_BUFF_WARD} não podem perder atributos.,Существа с {CONDNAME_BUFF_WARD} не могут терять характеристики.,Le creature con {CONDNAME_BUFF_WARD} non possono perdere statistiche.,具有{CONDNAME_BUFF_WARD}的生物無法失去屬性值。,拥有{CONDNAME_BUFF_WARD}的生物不会失去属性值。,{CONDNAME_BUFF_WARD} 상태인 생물은 능력치를 잃을 수 없습니다.,Stworzenia z {CONDNAME_BUFF_WARD} nie mogą tracić statystyk.,Істоти з {CONDNAME_BUFF_WARD} не можуть втрачати характеристики.,Wezens met {CONDNAME_BUFF_WARD} kunnen geen stats verliezen.,{CONDNAME_BUFF_WARD} özelliğine sahip yaratıklar istatistiklerini kaybetmez.
L_CDESC_DEBUFF_SNARED,,Creatures with {CONDNAME_DEBUFF_SNARED} are stuck at the bottom of the {TIMELINE} until they break free. They have a 10% chance to break free at the start of each creature's turn.,{CONDNAME_DEBUFF_SNARED}状態の生物は、解放されるまで{TIMELINE}の最下部に固定されます。各生物のターン開始時に10%の確率で解放されます。,"Kreaturen mit {CONDNAME_DEBUFF_SNARED} stecken am unteren Ende der {TIMELINE} fest, bis sie sich befreien. Sie haben eine 10% Chance, sich zu Beginn des Zuges jeder Kreatur zu befreien.",Les créatures avec {CONDNAME_DEBUFF_SNARED} sont bloquées au bas de la {TIMELINE} jusqu'à ce qu'elles se libèrent. Elles ont 10% de chances de se libérer au début du tour de chaque créature.,Las criaturas con {CONDNAME_DEBUFF_SNARED} están atrapadas en la parte inferior de la {TIMELINE} hasta que se liberen. Tienen un 10% de probabilidad de liberarse al comienzo del turno de cada criatura.,Criaturas com {CONDNAME_DEBUFF_SNARED} ficam presas na parte inferior da {TIMELINE} até se libertarem. Elas têm 10% de chance de se libertarem no início do turno de cada criatura.,"Существа с {CONDNAME_DEBUFF_SNARED} застревают в нижней части {TIMELINE}, пока не освободятся. У них есть 10% шанс освободиться в начале хода каждого существа.",Le creature con {CONDNAME_DEBUFF_SNARED} sono bloccate in fondo alla {TIMELINE} finché non si liberano. Hanno una probabilità del 10% di liberarsi all'inizio del turno di ogni creatura.,帶有{CONDNAME_DEBUFF_SNARED}的生物會被困在{TIMELINE}的底部，直到它們掙脫為止。在每個生物的回合開始時，它們有10%的機會掙脫。,带有{CONDNAME_DEBUFF_SNARED}的生物会被困在{TIMELINE}底部，直到它们挣脱为止。在每个生物回合开始时，它们有10%的几率挣脱。,{CONDNAME_DEBUFF_SNARED} 상태인 생물은 벗어날 때까지 {TIMELINE}의 맨 아래에 고정됩니다. 각 생물의 턴이 시작될 때마다 10%의 확률로 벗어날 수 있습니다.,"Stworzenia z {CONDNAME_DEBUFF_SNARED} są unieruchomione na dole {TIMELINE}, dopóki się nie uwolnią. Mają 10% szans na uwolnienie się na początku tury każdego stworzenia.","Істоти з {CONDNAME_DEBUFF_SNARED} застрягають внизу {TIMELINE}, доки не звільняться. Вони мають 10% шанс звільнитися на початку ходу кожної істоти.",Wezens met {CONDNAME_DEBUFF_SNARED} zitten vast aan de onderkant van de {TIMELINE} totdat ze zichzelf bevrijden. Ze hebben een kans van 10% om vrij te komen aan het begin van elke beurt van een wezen.,"{CONDNAME_DEBUFF_SNARED} olan yaratıklar, kurtulana kadar {TIMELINE}'ın en altında sıkışır kalırlar. Her yaratığın sırası başladığında %10 şansla kurtulabilirler."
L_CDESC_DEBUFF_FROZEN,,"{CONDNAME_DEBUFF_FROZEN} creatures are unable to act until they thaw, and have a 25% chance to thaw at the start of their turn. This chance doubles after each of their turns.",{CONDNAME_DEBUFF_FROZEN}状態の生物は、解凍されるまで行動できず、自分のターン開始時に25%の確率で解凍されます。この確率は、自分のターンが終わるごとに2倍になります。,"{CONDNAME_DEBUFF_FROZEN} Kreaturen können nicht handeln, bis sie auftauen, und haben eine 25% Chance, zu Beginn ihres Zuges aufzutauen. Diese Chance verdoppelt sich nach jedem ihrer Züge.","Les créatures {CONDNAME_DEBUFF_FROZEN} sont incapables d'agir jusqu'à ce qu'elles dégèlent, et ont 25% de chances de dégeler au début de leur tour. Cette chance double après chacun de leurs tours.","Las criaturas {CONDNAME_DEBUFF_FROZEN} no pueden actuar hasta que se descongelen, y tienen un 25% de probabilidad de descongelarse al comienzo de su turno. Esta probabilidad se duplica después de cada uno de sus turnos.","Criaturas {CONDNAME_DEBUFF_FROZEN} não conseguem agir até que descongelem, e têm 25% de chance de descongelar no início do seu turno. Essa chance dobra após cada um de seus turnos.","{CONDNAME_DEBUFF_FROZEN} существа не могут действовать, пока не оттают, и имеют 25% шанс оттаять в начале своего хода. Этот шанс удваивается после каждого их хода.","Le creature {CONDNAME_DEBUFF_FROZEN} non possono agire finché non si scongelano, e hanno il 25% di possibilità di scongelarsi all'inizio del loro turno. Questa probabilità raddoppia dopo ogni loro turno.",{CONDNAME_DEBUFF_FROZEN}生物無法行動，直到解凍為止，並且在其回合開始時有25%的機會解凍。這個機率在每個回合後會翻倍。,{CONDNAME_DEBUFF_FROZEN}生物无法行动，直到它们解冻，并且在其回合开始时有25%的几率解冻。这个几率在每个回合后翻倍。,"{CONDNAME_DEBUFF_FROZEN} 상태의 생물은 해동될 때까지 행동할 수 없으며, 자신의 턴 시작 시 25%의 확률로 해동됩니다. 이 확률은 자신의 턴이 끝날 때마다 두 배가 됩니다.","Stworzenia {CONDNAME_DEBUFF_FROZEN} nie mogą działać, dopóki nie odtają, i mają 25% szans na odtajanie na początku swojej tury. Ta szansa podwaja się po każdej ich turze.","{CONDNAME_DEBUFF_FROZEN} істоти не можуть діяти, доки не відтануть, і мають 25% шанс відтанути на початку свого ходу. Цей шанс подвоюється після кожного їхнього ходу.","{CONDNAME_DEBUFF_FROZEN} wezens kunnen niet handelen totdat ze ontdooien, en hebben 25% kans om te ontdooien aan het begin van hun beurt. Deze kans verdubbelt na elk van hun beurten.","{CONDNAME_DEBUFF_FROZEN} yaratıklar çözülene kadar hareket edemezler ve sıralarının başında %25 ihtimalle çözülürler. Bu ihtimal, her sıralarından sonra iki katına çıkar."
L_CDESC_BUFF_SHELL,,{CONDNAME_BUFF_SHELL} negates the next incoming attack or spell.,{CONDNAME_BUFF_SHELL}は次に受ける攻撃や呪文を無効化する。,{CONDNAME_BUFF_SHELL} negiert den nächsten eingehenden Angriff oder Zauber.,{CONDNAME_BUFF_SHELL} annule la prochaine attaque ou le prochain sort reçu.,{CONDNAME_BUFF_SHELL} niega el próximo ataque o hechizo entrante.,{CONDNAME_BUFF_SHELL} anula o próximo ataque ou feitiço recebido.,{CONDNAME_BUFF_SHELL} отменяет следующую входящую атаку или заклинание.,{CONDNAME_BUFF_SHELL} annulla il prossimo attacco o incantesimo in arrivo.,{CONDNAME_BUFF_SHELL}抵消下一次受到的攻擊或法術。,{CONDNAME_BUFF_SHELL}抵消下一次即将到来的攻击或法术。,{CONDNAME_BUFF_SHELL}은(는) 다음에 들어오는 공격이나 주문을 무효화합니다.,{CONDNAME_BUFF_SHELL} neguje następny nadchodzący atak lub zaklęcie.,{CONDNAME_BUFF_SHELL} нейтралізує наступну атаку чи закляття.,{CONDNAME_BUFF_SHELL} negeert de eerstvolgende aanval of spreuk.,{CONDNAME_BUFF_SHELL} bir sonraki gelen saldırıyı veya büyüyü etkisiz hale getirir.
L_CDESC_BUFF_INVISIBLE,,{CONDNAME_BUFF_INVISIBLE} creatures cannot be manually targeted by enemy attacks or spells. This buff is removed after the creature takes an action.,{CONDNAME_BUFF_INVISIBLE}の生物は敵の攻撃や呪文で手動で標的にされることはできません。この強化効果は、生物がアクションを取った後に解除されます。,"{CONDNAME_BUFF_INVISIBLE} Kreaturen können nicht manuell von feindlichen Angriffen oder Zaubern anvisiert werden. Dieser Buff wird entfernt, nachdem die Kreatur eine Aktion ausführt.",Les créatures {CONDNAME_BUFF_INVISIBLE} ne peuvent pas être ciblées manuellement par les attaques ou sorts ennemis. Cet effet est supprimé après que la créature effectue une action.,Las criaturas {CONDNAME_BUFF_INVISIBLE} no pueden ser objetivo manual de ataques o hechizos enemigos. Este beneficio se elimina después de que la criatura realice una acción.,Criaturas {CONDNAME_BUFF_INVISIBLE} não podem ser manualmente alvejadas por ataques ou magias inimigas. Este buff é removido após a criatura realizar uma ação.,"{CONDNAME_BUFF_INVISIBLE} существа не могут быть вручную выбраны целью вражеских атак или заклинаний. Этот бафф снимается после того, как существо совершает действие.",Le creature {CONDNAME_BUFF_INVISIBLE} non possono essere bersagliate manualmente da attacchi o incantesimi nemici. Questo buff viene rimosso dopo che la creatura compie un'azione.,{CONDNAME_BUFF_INVISIBLE}生物無法被敵方攻擊或法術手動指定為目標。此增益效果會在生物採取行動後移除。,{CONDNAME_BUFF_INVISIBLE}生物无法被敌方攻击或法术手动指定为目标。该增益效果会在生物采取行动后移除。,{CONDNAME_BUFF_INVISIBLE} 생물은 적의 공격이나 주문에 의해 수동으로 대상이 될 수 없습니다. 이 버프는 생물이 행동을 취한 후 제거됩니다.,Stworzeń z {CONDNAME_BUFF_INVISIBLE} nie można ręcznie wybrać jako cel ataków ani zaklęć wroga. Ten efekt zostaje usunięty po wykonaniu akcji przez stworzenie.,"{CONDNAME_BUFF_INVISIBLE} істоти не можуть бути вручну обрані ціллю ворожих атак чи заклинань. Цей бафф знімається після того, як істота виконає дію.",{CONDNAME_BUFF_INVISIBLE} wezens kunnen niet handmatig worden aangevallen door vijandelijke aanvallen of spreuken. Deze buff wordt verwijderd nadat het wezen een actie onderneemt.,"Görünmez yaratıklar düşman saldırıları veya büyüleri tarafından manuel olarak hedeflenemez. Bu güçlendirme, yaratık bir eylem gerçekleştirdikten sonra kaldırılır."
