Tag,Notes,English,Japanese,German,French,Spanish,Portuguese,Russian,Italian,Chinese (Traditional),Chinese (Simplified),Korean,Polish,Ukrainian,Dutch,Turkish
L_CRIT_PHASEEXECUTIONER,,Phase Executioner,フェイズ・エグゼキューター,Phasenexekutor,Exécuteur de Phase,Ejecutor de Fase,Executor de Fase,Фазовый Палач,Esecutore di Fase,相位處決者,相位处决者,페이즈 이그제큐셔너,Egzekutor Fazowy,Фазовий Кат,Fase Beul,Faz İnfazcısı
L_CRIT_PHASECHAMPION,,Phase Champion,フェイズチャンピオン,Phasenchampion,Champion de Phase,Campeón de Fase,Campeão de Fase,Чемпион Фазы,Campione di Fase,相位勇士,相位冠军,페이즈 챔피언,Mistrz Faz,Чемпіон Фази,Fase Kampioen,Faz Şampiyonu
L_CRIT_PILWIZPEASANT,,Pilwiz Peasant,ピルウィズの農民,Pilwiz-Bauer,Paysan Pilwiz,Campesino Pilwiz,Camponês Pilwiz,Крестьянин Пилвиз,Contadino Pilwiz,皮爾維茲農民,皮尔维兹农民,필위즈 농민,Chłop Pilwiz,Селянин Пілвіз,Pilwiz Boer,Pilwiz Köylüsü
L_CRIT_DELIRIOUSGHOUL,,Delirious Ghoul,錯乱したグール,Wahnsinniger Ghul,Goule Délirante,Necrófago Delirante,Carniçal Delirante,Бредящий Упырь,Ghoul Delirante,瘋狂食屍鬼,谵妄食尸鬼,광기 어린 구울,Obłąkany Ghul,Божевільний Упир,Waanzinnige Ghoul,Çılgın Hortlak
L_CRIT_FRENZYGHOUL,,Frenzy Ghoul,フレンジーグール,Rasender Ghul,Goule frénétique,Necrófago Frenético,Carniçal Frenético,Бешеный Упырь,Ghoul Frenetico,狂暴食屍鬼,狂暴食尸鬼,광란의 구울,Oszalały Ghul,Скажений гуль,Razende Ghoul,Çılgın Gulyabani
L_CRIT_HYSTERIAGHOUL,,Hysteria Ghoul,ヒステリアグール,Hysterie-Ghul,Goule Hystérique,Necrófago de Histeria,Carniçal Histérico,Истерический Упырь,Ghoul Isterico,歇斯底里食屍鬼,歇斯底里食尸鬼,히스테리아 구울,Upiór Histerii,Гуль Істерії,Hysterische Ghoul,Histeri Gulyabani
L_CRIT_RAPTUROUSGHOUL,,Rapturous Ghoul,恍惚のグール,Verzückter Ghul,Goule Extatique,Necrófago Extasiado,Carniçal Extasiado,Восторженный Упырь,Ghoul Estatico,狂喜食屍鬼,狂喜食尸鬼,황홀한 구울,Zachwycony Ghul,Захопливий Упир,Verrukkelijke Ghoul,Coşkun Gulyabani
L_CRIT_MANIACALGHOUL,,Maniacal Ghoul,マニアカルグール,Wahnsinniger Ghul,Goule Maniaque,Necrófago Maníaco,Carniçal Maníaco,Маниакальный Упырь,Ghoul Maniacale,狂亂食屍鬼,疯狂食尸鬼,광기 어린 구울,Szalony Ghul,Маніакальний упир,Waanzinnige Ghoul,Çılgın Gulyabani
L_CRIT_MITEGRAVEDIGGER,,Mite Gravedigger,ダニ墓掘り,Milben-Totengräber,Fossoyeur d'Acarien,Sepulturero de Ácaros,Escavador de Ácaros,Могильщик-Клещ,Becchino dei Acari,蟎蟲掘墓者,螨虫掘墓者,진드기 무덤파는자,Kopacz Roztocza,Могильник-кліщ,Mijt Grafdelver,Akar Mezarcı
L_CRIT_MITEINTERLOPER,,Mite Interloper,マイト・インターロパー,Milben-Eindringling,Intrus Acarien,Intruso Ácaro,Intruso Ácaro,Клещ-Нарушитель,Intruso Acaro,蟎蟲入侵者,螨虫入侵者,진드기 침입자,Intruz Roztocza,Кліщ-порушник,Mijt Indringer,Akar Müdahilci
L_CRIT_MITEINVADER,,Mite Invader,マイト・インベーダー,Milbeninvasor,Envahisseur Acarien,Invasor Ácaro,Invasor Ácaro,Нашествие Клещей,Invasore Acaro,蟎蟲入侵者,螨虫入侵者,진드기 침략자,Najeźdźca Roztocze,Мітовий Загарбник,Mijt Indringer,Akar Saldırganı
L_CRIT_MITEPLAGUESPREADER,,Mite Plaguespreader,マイト・プレイグスプレッダー,Milben-Seuchenbringer,Propagateur de Fléau Acarien,Propagador de Plaga Ácaro,Espalhador de Pragas Ácaro,Чумной Разносчик-Клещ,Propagatore della Piaga Acaro,蟎蟲瘟疫散播者,螨虫疫病传播者,진드기 역병전파자,Roznosiciel Plagi Roztocza,Кліщ-розповсюджувач чуми,Mijt Plaagverspreider,Akar Veba Yayıcı
L_CRIT_MITESKIRMISHER,,Mite Skirmisher,マイトの散兵,Milben-Scharmützler,Escarmoucheur Acarien,Escaramuzador Ácaro,Escaramuçador Ácaro,Клещ-налётчик,Schermidore Acaro,蟎族戰鬥者,螨虫斗士,진드기 척후병,Wojownik Roztocza,Кліщ-Сутичник,Mijtenstrijder,Akar Çatışmacısı
L_CRIT_MITEWEBWEAVER,,Mite Webweaver,ミテ・ウェブウィーバー,Milben-Webweber,Acarien Tissetoile,Ácaro Tejedor,Ácaro Tecelão,Клещ-Ткач,Acaro Tessitore,蟎蛛織網者,蟎蛛织网者,진드기 거미줄공예가,Tkacz Pajęczyn,Кліщ-Павутинник,Mijt Webwever,Akar Ağcı
L_CRIT_CHAOSGUARD,,Chaos Guard,カオスガード,Chaoswächter,Garde du Chaos,Guardia del Caos,Guarda do Caos,Страж Хаоса,Guardia del Caos,混沌守衛,混沌守卫,혼돈의 수호자,Strażnik Chaosu,Страж Хаосу,Chaoswacht,Kaos Muhafızı
L_CRIT_DEATHGUARD,,Death Guard,デスガード,Todeswache,Garde Mortel,Guardia de la Muerte,Guarda da Morte,Стража Смерти,Guardia della Morte,死亡守衛,死亡守卫,죽음의 수호자,Gwardia Śmierci,Варта Смерті,Doodswacht,Ölüm Muhafızı
L_CRIT_PITGUARD,,Pit Guard,穴の番人,Grubenaufseher,Gardien de la Fosse,Guardia del Foso,Guarda do Fosso,Страж Ямы,Guardia della Fossa,坑洞守衛,矿坑守卫,구덩이 경비병,Strażnik Dołu,Охоронець ями,Putbewaker,Çukur Muhafızı
L_CRIT_INFERNALGUARD,,Infernal Guard,地獄の守護者,Höllenwache,Garde Infernale,Guardia Infernal,Guarda Infernal,Адская Стража,Guardia Infernale,煉獄守衛,地狱守卫,지옥의 수호자,Piekielna Straż,Пекельна Варта,Helse Wacht,Cehennem Muhafızı
L_CRIT_ABADDONGUARD,,Abaddon Guard,アバドンガード,Abaddon-Wächter,Garde d'Abaddon,Guardia de Abadón,Guarda de Abaddon,Страж Абаддона,Guardia di Abaddon,阿巴頓守衛,阿巴顿守卫,아바돈 가드,Strażnik Abaddonu,Страж Абаддона,Abaddon Wachter,Abaddon Muhafızı
L_CRIT_PERDITIONGUARD,,Perdition Guard,煉獄の守護者,Verderbniswächter,Garde de la Perdition,Guardia de la Perdición,Guarda da Perdição,Страж Погибели,Guardia della Perdizione,滅亡守衛,灭亡守卫,파멸의 수호자,Strażnik Zatracenia,Страж Загибелі,Verdoemeniswacht,Cehennem Muhafızı
L_CRIT_GORETONGUEGARGOYLE,,Goretongue Gargoyle,ゴアタン・ガーゴイル,Blutzungengargoyle,Gargouille Langue-Sanglante,Gárgola Lenguasangrienta,Gárgula Língua-Sangrenta,Кровоязыкая Горгулья,Gargoyle Linguasanguinosa,血舌石像鬼,血舌石像鬼,피혈의 가고일,Krwawojęzyczny Gargulec,Горлоязикий Гаргуйль,Bloedtongduivel,Kankusan Gargoyle
L_CRIT_DUSKTAILGARGOYLE,,Dusktail Gargoyle,ダスクテイル・ガーゴイル,Dämmerungsschwanz-Gargoyle,Gargouille Queue-Crépuscule,Gárgola Colaocaso,Gárgula Cauda-Crepuscular,Горгулья Сумеречного Хвоста,Gargoyle Codafosca,暮尾石像鬼,暮尾石像鬼,황혼꼬리 가고일,Gargulec Zmierzchowego Ogona,Горгулья Сутінкохвіст,Schemeringstaart Waterspuwer,Alacakaranlık Kuyruklu Gargoyle
L_CRIT_NIGHTWINGGARGOYLE,,Nightwing Gargoyle,ナイトウィング・ガーゴイル,Nachtschwingen-Gargoyle,Gargouille Aile-de-Nuit,Gárgola Ala Nocturna,Gárgula Asa Noturna,Горгулья Ночное Крыло,Gargoyle Alanera,夜翼石像鬼,夜翼石像鬼,나이트윙 가고일,Gargulec Nocnych Skrzydeł,Горгулья Нічного Крила,Nachtvleugel Waterspuwer,Gece Kanatlı Gargoyle
L_CRIT_BLOODFANGGARGOYLE,,Bloodfang Gargoyle,ブラッドファングガーゴイル,Blutfang-Gargoyle,Gargouille Croc-Sanglant,Gárgola Colmillo Sangriento,Gárgula Presa-Sangrenta,Горгулья Кровавого Клыка,Gargoyle Zannasanguinaria,血牙石像鬼,血牙石像鬼,피의 송곳니 가고일,Krwawiokły Gargulec,Горгулья Кривавого Ікла,Bloedtand Waterspuwer,Kanpençe Gargoyl
L_CRIT_SUNCLAWGARGOYLE,,Sunclaw Gargoyle,サンクロー・ガーゴイル,Sonnenklauengargoyle,Gargouille Griffesoleil,Gárgola Garrasol,Gárgula Garra Solar,Горгулья Солнечный Коготь,Gargoyle Artigliosolare,日爪石像鬼,日爪石像鬼,태양발톱 가고일,Gargulec Słonecznego Szponu,Сонцекіготь Горгулья,Zonklauw Waterspuwer,Güneşpençe Gargoyl
L_CRIT_DARKEYEGARGOYLE,,Darkeye Gargoyle,ダークアイ・ガーゴイル,Dunkelauge-Gargoyle,Gargouille Œil-Sombre,Gárgola Ojooscuro,Gárgula Olho-Negro,Горгулья Тёмного Ока,Gargoyle Occhioscuro,暗眼石像鬼,暗眼石像鬼,암안 가고일,Gargulec Ciemnookiego,Темноокий Гаргуйль,Duisteroog Waterspuwer,Karanlıkgöz Gargoyl
L_CRIT_FALLENCARNAGE,,Fallen Carnage,フォールン・カーネイジ,Gefallenes Gemetzel,Carnage Déchu,Carnicería Caída,Carnificina Caída,Павшая Бойня,Carneficina Caduta,殞落屠殺,陨落屠戮,몰락한 학살,Upadła Rzeź,Полегле Побоїще,Gevallen Slachting,Düşmüş Kıyım
L_CRIT_ROTTENCARNAGE,,Rotten Carnage,腐敗した殺戮,Faulige Metzelei,Carnage Putride,Carnicería Putrefacta,Carnificina Pútrida,Гнилая Бойня,Carneficina Putrida,腐爛屠殺,腐烂屠戮,썩은 학살,Zgniłe Krwawisko,Гнила Різанина,Rottend Bloedbad,Çürük Katliam
L_CRIT_SHADOWCARNAGE,,Shadow Carnage,シャドウ・カーネイジ,Schattengemetzel,Carnage des Ombres,Carnicería Sombría,Carnificina Sombria,Теневая Бойня,Carneficina d'Ombra,暗影屠殺,暗影屠戮,그림자 대학살,Krwawy Cień,Тіньова Різанина,Schaduwslachting,Gölge Kıyım
L_CRIT_CARNAGEANTAGONIZER,,Carnage Antagonizer,カーネイジ・アンタゴナイザー,Carnage-Antagonist,Antagoniste Carnage,Antagonista de la Carnicería,Antagonizador de Carnificina,Антагонист Резни,Antagonista del Massacro,屠殺挑釁者,屠戮挑衅者,학살의 도발자,Antagonista Rzezi,Антагоніст Різанини,Carnage Antagonist,Katliam Kışkırtıcısı
L_CRIT_CARNAGETORMENTER,,Carnage Tormenter,カーネイジ・トーメンター,Schlachtentormentor,Tourmenteur Carnage,Atormentador de Carnicería,Atormentador de Carnificina,Мучитель Кровопролития,Tormentatore di Carneficina,屠殺折磨者,屠戮折磨者,학살의 고문자,Oprawca Udręczyciel,Мучитель Різанини,Slachting Kweller,Katliam İşkencecisi
L_CRIT_CARNAGEDESTRUCTOR,,Carnage Destructor,カーネージ・デストラクター,Vernichtungs-Destruktor,Destructeur Carnage,Destructor de Masacre,Destruidor de Carnificina,Разрушитель Бойни,Distruttore di Carneficina,屠殺毀滅者,屠戮毁灭者,학살 파괴자,Niszczyciel Rzezi,Руйнівник Різанини,Vernietigingsverwekker,Katliam Yok Edici
L_CRIT_PILWIZGUARDIAN,,Pilwiz Guardian,ピルウィズの守護者,Pilwiz-Wächter,Gardien Pilwiz,Guardián Pilwiz,Guardião Pilwiz,Страж Пилвиз,Guardiano Pilwiz,皮爾維茲守護者,皮尔维兹守卫,필위즈 가디언,Strażnik Pilwiz,Страж Пілвіз,Pilwiz Bewaker,Pilwiz Muhafızı
L_CRIT_PILWIZSLASHER,,Pilwiz Slasher,ピルウィズ・スラッシャー,Pilwiz-Schlitzer,Trancheur Pilwiz,Tajador Pilwiz,Cortador Pilwiz,Мечник Пилвиз,Squartatore Pilwiz,皮爾維茲斬擊者,皮尔维兹斩杀者,필위즈 슬래셔,Rębacz Pilwiz,Різак Пілвіз,Pilwiz Hakker,Pilwiz Kıyıcı
L_CRIT_ARCANEPILWIZ,,Arcane Pilwiz,アーケイン・ピルウィズ,Arkaner Pilwiz,Pilwiz Arcanique,Pilwiz Arcano,Pilwiz Arcano,Тайный Пилвиз,Pilwiz Arcano,奧術皮爾維茲,奥术皮尔维兹,비전 필위즈,Tajemniczy Pilwiz,Чародійний Пілвіз,Arcane Pilwiz,Büyülü Pilwiz
L_CRIT_FLAMEHOOKPILWIZ,,Flamehook Pilwiz,フレイムフック・ピルウィズ,Flammenhaken-Pilwiz,Pilwiz Crochet-Flamme,Pilwiz Garfallamas,Pilwiz Gancho de Fogo,Огненный Пилвиз,Pilwiz Fiammuncino,火鉤皮爾維茲,火钩皮尔维兹,화염갈고리 필위즈,Ognisty Pilwiz,Вогнекрюк Пілвіз,Vuurhaak Pilwiz,Alevkanca Pilwiz
L_CRIT_DARKSCYTHEPILWIZ,,Darkscythe Pilwiz,ダークサイズ・ピルウィズ,Dunkelsensenmagier Pilwiz,Pilwiz de la Faux Sombre,Pilwiz Guadañaoscura,Pilwiz da Foice Sombria,Темнокоса Пилвиз,Pilwiz Falceoscura,暗鐮魔法師,暗镰魔法师,다크사이드 필위즈,Mrocznokosiarz Pilwiz,Темнокоса Пілвіз,Duisterzeis Pilwiz,Karanlıkkasaturu Pilwiz
L_CRIT_STEAMPOWEREDPILWIZ,,Steampowered Pilwiz,スチームパワード・ピルウィズ,Dampfbetriebener Pilwiz,Pilwiz à Vapeur,Pilwiz a Vapor,Pilwiz a Vapor,Паровой Пилвиз,Pilwiz a Vapore,蒸汽動力皮爾維茲,蒸汽动力皮尔维兹,증기동력 필위즈,Paronapędowy Pilwiz,Паровий Пілвіз,Stoomaangedreven Pilwiz,Buharlı Pilwiz
L_CRIT_ABYSSBANSHEE,,Abyss Banshee,アビス・バンシー,Abgrund-Banshee,Banshee des Abysses,Banshee del Abismo,Banshee do Abismo,Банши Бездны,Banshee dell'Abisso,深淵女妖,深渊女妖,심연의 밴시,Banshee Otchłani,Безодня Банші,Afgrond Banshee,Uçurum Banshee
L_CRIT_SAVAGEBANSHEE,,Savage Banshee,サベージ・バンシー,Wilde Todesfee,Banshée Sauvage,Banshee Salvaje,Banshee Selvagem,Дикая Баньши,Banshee Selvaggia,兇猛女妖,狂野女妖,야만적인 밴시,Dzika Banshee,Дика Банші,Woeste Banshee,Vahşi Banshee
L_CRIT_VALENTINEBANSHEE,,Valentine Banshee,バレンタイン・バンシー,Valentins-Banshee,Valentine Banshee,Banshee Valentín,Banshee Valentina,Валентин Банши,Valentine Banshee,瓦倫泰恩女妖,瓦伦丁女妖,발렌타인 밴시,Banshee Walentynkowa,Валентинова Банші,Valentijn Banshee,Sevgililer Banshee'si
L_CRIT_ANGUISHBANSHEE,,Anguish Banshee,アングイッシュ・バンシー,Qualbanshee,Banshée d'Angoisse,Banshee de Angustia,Banshee da Angústia,Баньши Скорби,Banshee dell'Angoscia,痛苦女妖,痛苦女妖,고통의 밴시,Banshee Udręki,Банші Страждання,Kwellingsbanshee,Izdırap Banshee'si
L_CRIT_IMPALERBANSHEE,,Impaler Banshee,インペイラー・バンシー,Pfähler-Todesfee,Banshee Empaleuse,Banshee Empaladora,Banshee Empaladora,Пронзающая Банши,Banshee Impalatrice,穿刺女妖,穿刺女妖,꿰뚫는 밴시,Banshee Przeszywająca,Банші-пронизувач,Spietser Banshee,Mızrakçı Banshee
L_CRIT_STYXBANSHEE,,Styx Banshee,スティクス・バンシー,Styx Banshee,Banshee du Styx,Banshee del Estigia,Banshee do Styx,Стикс Баньши,Banshee dello Stige,冥河女妖,冥河女妖,스틱스 밴시,Banshee Styksu,Стікс Банші,Styx Banshee,Styx Banshee
L_CRIT_DESTRUCTIONBANSHEE,,Destruction Banshee,デストラクション・バンシー,Zerstörungs-Banshee,Banshee de Destruction,Banshee de Destrucción,Banshee da Destruição,Банши Разрушения,Banshee della Distruzione,毀滅女妖,毁灭女妖,파괴의 밴시,Banshee Zniszczenia,Банші Руйнування,Vernietigingsbanshee,Yıkım Banshee'si
L_CRIT_PITWORMTUNNELER,,Pit Worm Tunneler,ピットワームトンネラー,Grubendrachen-Tunnelgräber,Ver des Fosses Tunnelier,Tunelador Gusano de Fosa,Escavador de Verme do Abismo,Туннельщик Ямного Червя,Scavatore Verme della Fossa,深坑蟲掘洞者,深坑蠕虫掘进者,구덩이 벌레 굴착자,Drążyciel Robaczej Jamy,Тунелювальник Ямового Хробака,Putwormmijnwerker,Çukur Solucanı Tünelci
L_CRIT_SPITTINGPITWORM,,Spitting Pit Worm,吐き出す穴虫,Spuckender Grubendrache,Ver Cracheur des Fosses,Gusano Escupidor de Fosa,Verme de Poço Cuspidor,Плюющийся Ямный Червь,Verme del Pozzo Sputante,噴吐坑蟲,吐痰坑虫,침뱉는 구덩이 벌레,Plujący Robak Jamy,Плюючий Ямковий Черв'як,Spuwende Putwormen,Tükürük Çukur Solucanı
L_CRIT_PITWORMGLADIATOR,,Pit Worm Gladiator,ピットワーム・グラディエーター,Grubendrachen-Gladiator,Ver des Fosses Gladiateur,Gladiador Gusano de Fosa,Gladiador Verme do Abismo,Гладиатор Ямный Червь,Gladiatore Verme della Fossa,深坑蟲角鬥士,深坑蠕虫角斗士,구덩이 벌레 검투사,Gladiator Dołowego Robala,Гладіатор-Ямовий Черв'як,Putwormenglad,Çukur Kurdu Gladyatörü
L_CRIT_ACCURSEDPITWORM,,Accursed Pit Worm,呪われた穴虫,Verfluchter Grubendrache,Ver Maudit des Abysses,Lombriz Maldita del Abismo,Verme Maldito do Abismo,Проклятый Ямный Червь,Verme Maledetto della Fossa,詛咒深淵蟲,诅咒深渊蠕虫,저주받은 구덩이 벌레,Przeklęty Robak z Otchłani,Проклятий Ямний Черв'як,Vervloekte Putslang,Lanetli Çukur Solucanı
L_CRIT_PITWORMHARBINGER,,Pit Worm Harbinger,ピットワームの先触れ,Grubenwurm-Vorbote,Ver des Fosses Annonciateur,Heraldo del Gusano del Abismo,Arauto do Verme do Abismo,Предвестник Червя Бездны,Araldo del Verme del Pozzo,深淵蟲先驅,深坑蠕虫先驱,구덩이 벌레 선구자,Zwiastun Robaka z Otchłani,Провісник Ямового Хробака,Putwormbode,Çukur Solucanı Habercisi
L_CRIT_VICIOUSPITWORM,,Vicious Pit Worm,凶暴な穴虫,Bösartiger Grubenwurm,Ver de Fosse Vicieux,Gusano de Fosa Feroz,Verme Cruel da Cova,Свирепый Ямный Червь,Verme della Fossa Feroce,兇惡地窟蟲,凶恶地穴蠕虫,잔혹한 구덩이 벌레,Okrutny Dołowy Robak,Жорстокий Ямковий Черв'як,Venijnige Putwormen,Zalim Çukur Solucanı
L_CRIT_ANCIENTSPIRIT,,Ancient Spirit,古代の霊,Uralter Geist,Esprit Ancien,Espíritu Antiguo,Espírito Ancestral,Древний Дух,Spirito Antico,遠古靈魂,远古灵魂,고대의 영혼,Pradawny Duch,Древній Дух,Oude Geest,Kadim Ruh
L_CRIT_FROZENSPIRIT,,Frozen Spirit,凍れし魂,Gefrorener Geist,Esprit Gelé,Espíritu Congelado,Espírito Congelado,Ледяной Дух,Spirito Congelato,冰凍靈魂,冰冻之灵,얼어붙은 영혼,Zamarznięty Duch,Крижаний Дух,Bevroren Geest,Donmuş Ruh
L_CRIT_SUCCUBUSSPIRIT,,Succubus Spirit,サキュバスの魂,Sukkubus-Geist,Esprit Succube,Espíritu Súcubo,Espírito Súcubo,Дух Суккуба,Spirito Succube,魅魔之靈,魅魔之灵,서큐버스 영혼,Duch Sukkuba,Дух Суккуба,Succubus Geest,Sükkubu Ruhu
L_CRIT_WILLOWSPIRIT,,Willow Spirit,ウィロースピリット,Weidengeist,Esprit de Saule,Espíritu de Sauce,Espírito do Salgueiro,Дух Ивы,Spirito del Salice,柳樹精靈,柳树精灵,버드나무 정령,Duch Wierzby,Дух Верби,Wilgengeest,Söğüt Ruhu
L_CRIT_EXALTEDSPIRIT,,Exalted Spirit,高貴なる魂,Erhabener Geist,Esprit Exalté,Espíritu Exaltado,Espírito Exaltado,Возвышенный Дух,Spirito Esaltato,崇高靈魂,崇高之灵,고귀한 영혼,Wzniosły Duch,Піднесений Дух,Verheven Geest,Yüce Ruh
L_CRIT_CLAIRVOYANTSPIRIT,,Clairvoyant Spirit,千里眼の霊,Hellsehergeist,Esprit Clairvoyant,Espíritu Clarividente,Espírito Clarividente,Ясновидящий Дух,Spirito Chiaroveggente,千里眼靈魂,千里眼灵体,천리안 영혼,Duch Jasnowidzący,Дух Ясновидіння,Helderziende Geest,Kahin Ruh
L_CRIT_PITWRAITHREDEEMER,,Pit Wraith Redeemer,ピット・レイス・リディーマー,Grubenwraith-Erlöser,Rédempteur du Spectre de la Fosse,Redentor del Espectro del Abismo,Redentor do Espectro do Abismo,Искупитель Призрака Ямы,Redentore del Wraith della Fossa,深淵幽魂救贖者,深渊幽灵救赎者,구덩이 망령 구원자,Odkupiciel Widmowej Otchłani,Спокутник Ямного Примарища,Putgeest Verlosser,Çukur Hayaleti Kurtarıcı
L_CRIT_PITWRAITHDOMINATOR,,Pit Wraith Dominator,ピット・レイス・ドミネーター,Grubengeist-Dominator,Dominateur des Spectres de la Fosse,Dominador Espectral del Abismo,Dominador Espectral do Abismo,Доминатор Призрачной Ямы,Dominatore Spettro della Fossa,深淵幽魂支配者,深渊幽灵支配者,구덩이 망령 지배자,Władca Upiorów z Otchłani,Домінатор Примарної Ями,Putgeest Overmeesteraar,Çukur Hayaleti Hükmedici
L_CRIT_PITWRAITHLIBERATOR,,Pit Wraith Liberator,ピット・レイス・リベレーター,Grubengeist-Befreier,Libérateur des Spectres de la Fosse,Liberador del Espectro del Abismo,Libertador Espectral do Abismo,Освободитель Призрачной Ямы,Liberatore Spettro della Fossa,深淵幽靈解放者,深渊幽灵解放者,구덩이 망령 해방자,Wyzwoliciel Upiorów z Otchłani,Визволитель Примарної Ями,Putgeest Bevrijder,Çukur Hayaleti Kurtarıcı
L_CRIT_PITWRAITHLORD,,Pit Wraith Lord,ピット・レイス・ロード,Grubengeistfürst,Seigneur Spectre des Abysses,Señor Espectro del Abismo,Senhor Espectro do Abismo,Повелитель Призраков Ямы,Signore Spettro dell'Abisso,深淵幽魂領主,深渊幽魂领主,구덩이 망령 군주,Pan Upiorów z Otchłani,Володар Примарної Ями,Putgeest Heer,Çukur Hayalet Lordu
L_CRIT_PITWRAITHOVERMIND,,Pit Wraith Overmind,ピット・レイス・オーバーマインド,Grubengeist-Übergeist,Suzerain des Spectres des Abysses,Supermente Espectral del Abismo,Superinteligência Espectral do Abismo,Высший Разум Призрачной Ямы,Supermente del Wraith della Fossa,深淵幽靈主腦,深渊幽灵主宰,구덩이 망령 대지배자,Nadumysł Upiorów z Otchłani,Надрозум Ямного Примарища,Putgeest Opperbewustzijn,Çukur Hayaleti Üstakıl
L_CRIT_PITWRAITHOBLITERATOR,,Pit Wraith Obliterator,ピット・レイス・オブリタレーター,Grubengeist-Vernichter,Oblitérateur de Spectre des Abysses,Obliterador de Espectro del Abismo,Obliterador de Espectro do Abismo,Истребитель Призрака Ямы,Annientatore Spettro della Fossa,深淵幽靈毀滅者,深渊幽灵毁灭者,구덩이 망령 섬멸자,Niszczyciel Upiorów z Otchłani,Нищівник Примари Ями,Putgeest Verdelger,Çukur Hayaleti Yok Edici
L_CRIT_BERSERKERFIEND,,Berserker Fiend,バーサーカー・フィーンド,Berserker-Unhold,Démon Berserker,Demonio Berserker,Demônio Furioso,Берсерк-Изверг,Demone Berserker,狂戰魔,狂战魔,광전사 마귀,Szalony Demon,Берсерк-Демон,Razende Duivel,Çılgın İblis
L_CRIT_THRASHERFIEND,,Thrasher Fiend,スラッシャー・フィーンド,Drescher-Unhold,Démon Frappeur,Demonio Triturador,Demônio Triturador,Бешеный Молотильщик,Demone Flagellatore,暴虐魔,暴虐魔,난도질 마귀,Demoniczny Młóciciel,Шалений Потрошитель,Sloopduivel,Parçalayıcı İblis
L_CRIT_MAULERFIEND,,Mauler Fiend,モーラー・フィーンド,Prügel-Unhold,Démon Massacreur,Demonio Apaleador,Demônio Espancador,Терзающий Изверг,Demone Massacratore,重擊魔魘,重击魔魇,난타 마수,Bestia Miażdżąca,Звір-Молотильник,Beuker Duivel,Parçalayıcı İblis
L_CRIT_DESTROYERFIEND,,Destroyer Fiend,破壊魔,Zerstörer-Unhold,Démon Destructeur,Demonio Destructor,Demônio Destruidor,Демон-разрушитель,Demone Distruttore,毀滅魔,毁灭魔,파괴자 마귀,Niszczycielski Demon,Демон-Руйнівник,Vernietiger Duivel,Yok Edici İblis
L_CRIT_ANNIHILATORFIEND,,Annihilator Fiend,殲滅の魔物,Vernichtungs-Unhold,Démon Annihilateur,Demonio Aniquilador,Demônio Aniquilador,Демон-Аннигилятор,Demone Annientatore,殲滅魔煞,歼灭魔,섬멸자 마귀,Niszczycielski Demon,Демон-Знищувач,Vernietigingsdemon,Yok Edici İblis
L_CRIT_FEROCIOUSFIEND,,Ferocious Fiend,凶暴な魔物,Wilder Unhold,Monstre Féroce,Enemigo Feroz,Monstro Feroz,Свирепый Изверг,Demone Feroce,兇猛魔物,凶猛魔物,맹렬한 마귀,Zaciekły Demon,Лютий Демон,Woeste Onverlaat,Vahşi İblis
L_CRIT_BRIMSMITH,,Brim Smith,ブリム・スミス,Brim Smith,Brim Smith,Brim Smith,Brim Smith,Брим Смит,Brim Smith,布林·史密斯,布里姆·史密斯,브림 스미스,Brim Smith,Брім Сміт,Brim Smith,Brim Smith
L_CRIT_CRYSTALSMITH,,Crystal Smith,クリスタル・スミス,Kristall-Schmied,Crystal Smith,Crystal Smith,Crystal Smith,Кристал Смит,Crystal Smith,水晶史密斯,水晶史密斯,크리스탈 스미스,Crystal Smith,Крістал Сміт,Crystal Smith,Kristal Demirci
L_CRIT_DISEASECRAFTER,,Disease Crafter,疫病職人,Seuchenschöpfer,Façonneur de Maladies,Artesano de Enfermedades,Artesão de Doenças,Создатель Болезней,Artefice delle Malattie,疫病工匠,疾病工匠,질병 제작자,Twórca Chorób,Майстер Хвороб,Ziektevervaardiger,Hastalık Ustası
L_CRIT_DEATHCRAFTER,,Death Crafter,デスクラフター,Todesschmied,Façonneur de Mort,Artesano de la Muerte,Artesão da Morte,Создатель Смерти,Artigiano della Morte,死亡工匠,死亡工匠,죽음의 제작자,Twórca Śmierci,Творець Смерті,Doodssmid,Ölüm Ustası
L_CRIT_PESTILENCECRAFTER,,Pestilence Crafter,疫病の工匠,Seuchenschmied,Artisan de la Pestilence,Artesano de Pestilencia,Artesão da Pestilência,Создатель Мора,Artigiano della Pestilenza,瘟疫工匠,瘟疫工匠,역병 제작자,Twórca Zarazy,Творець Мору,Pestilentie Ambachtsman,Veba Zanaatkarı
L_CRIT_HAMMERLORD,,Hammer Lord,ハンマーロード,Hammerfürst,Seigneur du Marteau,Señor del Martillo,Senhor do Martelo,Повелитель Молота,Signore del Martello,錘擊領主,锤击领主,망치 군주,Władca Młota,Володар Молота,Hamerheer,Çekiç Lordu
